YearsProgr,PersonalProj,Gender,WorkType,Company,Supervising,Studies,RelativeComp,AnnualNetSalary,Employer,Employee,observation_count
1,Yes,Man,Onsite,11to50,No,Bachelor,Yes,11200,Greece,Greece,1
20,No,Man,Hybrid,51to100,Yes,Bachelor,Yes,32500,Greece,Greece,1
3,No,Man,Hybrid,501plus,No,Master,Yes,16000,Greece,Greece,1
3,No,Man,Remote,1to10,No,Bachelor,Yes,16800,Greece,Greece,1
9,Yes,Man,Hybrid,11to50,Yes,Bachelor,Yes,26000,Greece,Greece,2
2,No,Man,Remote,201to500,No,Master,Yes,17000,Greece,Greece,1
2,No,Man,Remote,1to10,No,Bachelor,Yes,21630,Greece,Greece,2
8,Yes,Man,Hybrid,11to50,No,Bachelor,Yes,16259,Greece,Greece,6
7,No,Man,Remote,11to50,Yes,Master,Yes,19600,Greece,Greece,2
1,Yes,Man,Remote,11to50,No,Bachelor,Yes,7500,Greece,Greece,1
19,No,Man,Hybrid,11to50,Yes,Master,Other,38000,Greece,Greece,2
7,Yes,Man,Hybrid,11to50,Yes,High School,Other,1600,Greece,Greece,3
2,Yes,Man,Hybrid,501plus,No,Bachelor,Yes,18000,Greece,Greece,1
1,Yes,Woman,Hybrid,501plus,No,Bachelor,Yes,13300,Greece,Greece,1
6,No,Man,Hybrid,1to10,No,Master,Other,30800,Greece,Greece,2
1,Yes,Man,Hybrid,201to500,No,Bachelor,Other,18525,Greece,Greece,1
8,Yes,Man,Hybrid,1to10,Yes,Bachelor,Yes,16800,Greece,Greece,3
6,Yes,Man,Hybrid,201to500,No,Bachelor,Yes,1730,Greece,Greece,2
6,Yes,Man,Hybrid,201to500,No,Master,Other,31000,Greece,Greece,1
3,Yes,Man,Hybrid,11to50,No,Bachelor,Yes,17500,Greece,Greece,1
10,Yes,Man,Onsite,51to100,No,Bachelor,Yes,1000,Abroad,Abroad,2
2,Yes,Man,Onsite,11to50,No,Bachelor,Yes,9282,Greece,Greece,2
1,No,Man,Onsite,51to100,Yes,High School,Other,1000,NA,Greece,1
1,No,Man,Remote,101to200,No,Master,Yes,14300,Greece,Greece,2
6,No,Man,Remote,101to200,No,Bachelor,Yes,51000,Abroad,Greece,2
1,Yes,Man,Remote,101to200,No,Bachelor,Yes,18156,Greece,Greece,1
1,Yes,Man,Remote,501plus,No,Bachelor,Yes,13540,Greece,Greece,2
1,No,Man,Hybrid,501plus,No,Bachelor,Yes,9100,Greece,Greece,1
2,No,Man,Hybrid,501plus,No,Bachelor,Yes,1250,Greece,Greece,1
4,No,Man,Remote,501plus,No,Bachelor,Yes,21000,NA,Greece,1
1,Yes,Man,Hybrid,11to50,No,Master,Yes,11500,Greece,Greece,1
2,No,Man,Hybrid,101to200,Yes,Bachelor,Yes,18588,Greece,Greece,1
8,Yes,Man,Remote,101to200,No,Master,Yes,2200,Greece,Greece,1
1,No,Man,Remote,11to50,No,High School,Other,10500,Greece,Greece,1
10,No,Man,Onsite,101to200,No,Master,Yes,18000,Greece,Greece,2
1,Yes,Man,Hybrid,11to50,No,Bachelor,Yes,12000,Greece,Greece,1
1,No,Man,Hybrid,51to100,No,Master,Yes,13300,Greece,Greece,2
5,No,Man,Remote,11to50,Yes,Bachelor,Yes,19530,Greece,Greece,1
12,Yes,Man,Remote,501plus,No,Bachelor,Yes,30500,Greece,Greece,4
1,No,Man,Hybrid,11to50,Yes,Master,Yes,14952,Greece,Greece,1
5,Yes,Man,Hybrid,201to500,Yes,Bachelor,Yes,50000,Greece,Greece,1
7,No,Man,Remote,101to200,No,Bachelor,Yes,32900,Greece,Greece,1
6,Yes,Man,Hybrid,101to200,No,Master,Yes,20000,Greece,Greece,2
2,Yes,Man,Hybrid,11to50,No,Master,Yes,17022,Greece,Greece,2
9,Yes,Man,Hybrid,51to100,No,Bachelor,Yes,29400,Greece,Greece,1
5,No,Man,Hybrid,201to500,No,Master,Other,23000,Greece,Greece,2
8,Yes,Man,Hybrid,51to100,No,Post-secondary Education,Yes,18200,Greece,Greece,3
3,Yes,Man,Onsite,1to10,Yes,Master,Yes,15000,Greece,Greece,1
2,No,Man,Hybrid,501plus,No,Bachelor,Yes,17574,NA,Greece,1
1,Yes,Man,Onsite,501plus,No,Master,Yes,21500,NA,Greece,1
1,Yes,Man,Remote,201to500,Yes,Bachelor,Yes,12800,Greece,Greece,1
1,Yes,Man,Remote,501plus,No,Bachelor,Yes,16800,Greece,Greece,1
1,No,Woman,Hybrid,501plus,No,Bachelor,Yes,10873,Greece,Greece,2
5,No,Man,Remote,11to50,Yes,High School,Other,16800,Greece,Greece,1
3,No,Man,Hybrid,201to500,Yes,Master,Yes,26803,Greece,Greece,2
1,No,Man,Remote,11to50,No,High School,Other,11900,Greece,Greece,1
1,Yes,Man,Hybrid,501plus,No,Master,Yes,18000,Greece,Greece,2
5,No,Woman,Hybrid,501plus,No,Bachelor,Yes,40000,Abroad,Abroad,1
1,No,Man,Remote,501plus,No,Master,Yes,12600,Greece,Greece,1
5,Yes,Man,Hybrid,101to200,Yes,Bachelor,Yes,18200,Greece,Greece,2
2,Yes,Man,Hybrid,11to50,Yes,High School,Other,14000,Greece,Greece,2
1,No,Man,Hybrid,501plus,No,Bachelor,Yes,12320,Greece,Greece,2
6,No,Man,Hybrid,501plus,No,Master,Yes,55816,Abroad,Abroad,1
1,Yes,Man,Hybrid,11to50,No,Bachelor,Yes,11545,Greece,Greece,2
2,Yes,Man,Remote,101to200,No,Master,Yes,15400,Greece,Greece,1
1,Yes,Man,Remote,11to50,No,Bachelor,Yes,13000,Greece,Greece,1
4,No,Man,Hybrid,501plus,No,Bachelor,Yes,30000,Greece,Greece,3
4,Yes,Man,Remote,1to10,No,Master,Yes,19600,Greece,Greece,2
2,Yes,Man,Hybrid,501plus,No,Bachelor,Other,17000,Greece,Greece,1
1,Yes,Man,Onsite,1to10,No,Master,Yes,11200,NA,Greece,1
9,No,Man,Hybrid,501plus,Yes,Master,Yes,30000,Abroad,Abroad,1
1,No,Man,Onsite,11to50,No,Bachelor,Yes,9600,Greece,Greece,2
11,Yes,Man,Remote,1to10,No,Bachelor,Yes,18,Greece,Greece,2
3,Yes,Man,Remote,1to10,No,Bachelor,Yes,15000,Greece,Greece,2
2,No,Man,Remote,11to50,No,Bachelor,Yes,13300,Greece,Greece,1
3,No,Man,Remote,501plus,No,Bachelor,Yes,20000,Greece,Greece,1
3,No,Man,Hybrid,501plus,No,Bachelor,Other,20000,Greece,Greece,2
10,Yes,Man,Hybrid,201to500,No,Master,Yes,30000,Greece,Greece,1
1,No,Man,Remote,501plus,No,Master,Yes,11454,Greece,Greece,1
2,No,Man,Onsite,201to500,No,Bachelor,Yes,1350,Abroad,Abroad,1
10,No,Man,Hybrid,1to10,Yes,High School,Other,12000,Greece,Greece,4
1,Yes,Man,Hybrid,501plus,No,Bachelor,Yes,21250,Greece,Greece,2
3,Yes,Man,Remote,1to10,No,High School,Other,1200,Greece,Greece,4
1,No,Man,Hybrid,201to500,No,Master,Yes,13,Greece,Greece,1
3,No,Man,Hybrid,1to10,No,Post-secondary Education,Yes,10680,NA,Greece,1
14,No,Man,Hybrid,501plus,No,Master,Yes,2087,Greece,Greece,1
7,Yes,Man,Hybrid,11to50,No,Master,Yes,3000,Abroad,Abroad,11
3,No,Man,Remote,1to10,Yes,Bachelor,Yes,22686,Abroad,Abroad,3
1,Yes,Man,Remote,51to100,No,Master,Yes,14700,Greece,Greece,1
1,No,Man,Hybrid,501plus,No,Master,Other,12404,Greece,Greece,2
2,Yes,Man,Onsite,501plus,No,High School,Other,13500,NA,Greece,2
7,Yes,Man,Onsite,1to10,No,Bachelor,Yes,16800,NA,Greece,2
4,No,Man,Hybrid,201to500,No,Master,Other,23500,Greece,Greece,1
1,Yes,Man,Remote,11to50,Yes,Master,Yes,12600,Greece,Greece,1
2,No,Man,Remote,1to10,No,Bachelor,Yes,14294,Abroad,Greece,1
1,No,Man,Hybrid,11to50,No,Post-secondary Education,Yes,14000,Greece,Greece,1
3,Yes,Man,Hybrid,1to10,No,Bachelor,Other,11000,NA,Greece,2
1,Yes,Man,Hybrid,201to500,No,Bachelor,Yes,10080,Greece,Greece,1
5,No,Man,Remote,101to200,No,Post-secondary Education,Yes,670,Greece,Greece,1
1,No,Man,Remote,11to50,No,Bachelor,Yes,9240,Greece,Greece,2
1,Yes,Man,Remote,51to100,No,Post-secondary Education,Yes,10080,Greece,Greece,1
1,No,Man,Onsite,51to100,Yes,Master,Yes,11900,NA,Greece,1
2,Yes,Man,Hybrid,201to500,No,Master,Other,18600,Greece,Greece,2
5,No,Man,Hybrid,501plus,No,Master,Yes,22000,Greece,Greece,2
8,No,Woman,Remote,501plus,No,Master,Yes,22000,Greece,Greece,2
1,No,Man,Remote,11to50,No,Bachelor,Yes,8598,Greece,Greece,1
16,No,Man,Hybrid,501plus,No,Bachelor,Yes,26600,Greece,Greece,1
1,No,Man,Hybrid,501plus,Yes,Master,Yes,14200,Greece,Greece,1
1,No,Man,Onsite,101to200,No,Bachelor,Yes,16100,NA,Greece,1
8,Yes,Man,Hybrid,501plus,No,Master,Yes,27618,Greece,Greece,2
1,Yes,Man,Remote,11to50,No,Master,Yes,900,Greece,Abroad,2
12,Yes,Man,Remote,11to50,No,Master,Yes,3200,Greece,Greece,2
2,No,Man,Remote,501plus,Yes,Bachelor,Yes,16100,Greece,Greece,3
